Symbol,Company Name,Industry,Market Cap
ATAQ,Altimar Acquisition III,Blank Check / SPAC,189
ATAX,America First Multifamily Investors LP,Thrifts & Mortgage Finance,411
ATC,Atotech,Electronic Components,4620
ATCO,Atlas,Marine,3610
ATCX,Atlas Technical Consultants,Engineering & Construction,370
ATEC,Alphatec Holdings,Health Care Equipment & Supplies,1140
ATEK,Athena Technology Acquisition II,Blank Check / SPAC,335
ATEN,A10 Networks,Software,1080
ATER,Aterian,"Furnishings, Fixtures & Appliances",119
ATEX,Anterix,Wireless Telecommunication Services,1040
ATGE,Adtalem Global Education,Diversified Consumer Services,1140
ATHA,Athira Pharma,Biotechnology,343
